timestamp,buyer,seller,symbol,currency,price,quantity,day
700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,6,-2
900,,,ASH_COATED_OSMIUM,XIRECS,9998.0,2,-2
2500,,,ASH_COATED_OSMIUM,XIRECS,10011.0,8,-2
6100,,,ASH_COATED_OSMIUM,XIRECS,10013.0,8,-2
12900,,,ASH_COATED_OSMIUM,XIRECS,10001.0,9,-2
13800,,,ASH_COATED_OSMIUM,XIRECS,10017.0,3,-2
15000,,,ASH_COATED_OSMIUM,XIRECS,10016.0,3,-2
15100,,,ASH_COATED_OSMIUM,XIRECS,10016.0,5,-2
15900,,,ASH_COATED_OSMIUM,XIRECS,9995.0,9,-2
17400,,,ASH_COATED_OSMIUM,XIRECS,10014.0,4,-2
18400,,,ASH_COATED_OSMIUM,XIRECS,10018.0,4,-2
24000,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6,-2
28700,,,ASH_COATED_OSMIUM,XIRECS,10011.0,2,-2
28800,,,ASH_COATED_OSMIUM,XIRECS,10011.0,10,-2
30700,,,ASH_COATED_OSMIUM,XIRECS,10012.0,6,-2
32400,,,ASH_COATED_OSMIUM,XIRECS,10005.0,4,-2
33000,,,ASH_COATED_OSMIUM,XIRECS,10013.0,9,-2
36600,,,ASH_COATED_OSMIUM,XIRECS,9997.0,6,-2
36700,,,ASH_COATED_OSMIUM,XIRECS,10012.0,10,-2
40500,,,ASH_COATED_OSMIUM,XIRECS,9997.0,2,-2
42000,,,ASH_COATED_OSMIUM,XIRECS,10006.0,4,-2
44200,,,ASH_COATED_OSMIUM,XIRECS,10014.0,2,-2
45600,,,ASH_COATED_OSMIUM,XIRECS,10011.0,4,-2
48000,,,ASH_COATED_OSMIUM,XIRECS,10014.0,10,-2
50000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,3,-2
50800,,,ASH_COATED_OSMIUM,XIRECS,10015.0,5,-2
51400,,,ASH_COATED_OSMIUM,XIRECS,10018.0,8,-2
53800,,,ASH_COATED_OSMIUM,XIRECS,9999.0,10,-2
55900,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6,-2
57600,,,ASH_COATED_OSMIUM,XIRECS,9998.0,6,-2
67300,,,ASH_COATED_OSMIUM,XIRECS,9989.0,8,-2
69400,,,ASH_COATED_OSMIUM,XIRECS,9987.0,5,-2
71700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,8,-2
72900,,,ASH_COATED_OSMIUM,XIRECS,9990.0,9,-2
73900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,7,-2
74500,,,ASH_COATED_OSMIUM,XIRECS,10007.0,9,-2
76000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,7,-2
79600,,,ASH_COATED_OSMIUM,XIRECS,10008.0,6,-2
