timestamp,buyer,seller,symbol,currency,price,quantity,day,trade_notional
700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,6,-2,59940.0
900,,,ASH_COATED_OSMIUM,XIRECS,9998.0,2,-2,19996.0
2500,,,ASH_COATED_OSMIUM,XIRECS,10011.0,8,-2,80088.0
6100,,,ASH_COATED_OSMIUM,XIRECS,10013.0,8,-2,80104.0
12900,,,ASH_COATED_OSMIUM,XIRECS,10001.0,9,-2,90009.0
13800,,,ASH_COATED_OSMIUM,XIRECS,10017.0,3,-2,30051.0
15000,,,ASH_COATED_OSMIUM,XIRECS,10016.0,3,-2,30048.0
15100,,,ASH_COATED_OSMIUM,XIRECS,10016.0,5,-2,50080.0
15900,,,ASH_COATED_OSMIUM,XIRECS,9995.0,9,-2,89955.0
17400,,,ASH_COATED_OSMIUM,XIRECS,10014.0,4,-2,40056.0
18400,,,ASH_COATED_OSMIUM,XIRECS,10018.0,4,-2,40072.0
24000,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6,-2,60078.0
28700,,,ASH_COATED_OSMIUM,XIRECS,10011.0,2,-2,20022.0
28800,,,ASH_COATED_OSMIUM,XIRECS,10011.0,10,-2,100110.0
30700,,,ASH_COATED_OSMIUM,XIRECS,10012.0,6,-2,60072.0
32400,,,ASH_COATED_OSMIUM,XIRECS,10005.0,4,-2,40020.0
33000,,,ASH_COATED_OSMIUM,XIRECS,10013.0,9,-2,90117.0
36600,,,ASH_COATED_OSMIUM,XIRECS,9997.0,6,-2,59982.0
36700,,,ASH_COATED_OSMIUM,XIRECS,10012.0,10,-2,100120.0
40500,,,ASH_COATED_OSMIUM,XIRECS,9997.0,2,-2,19994.0
42000,,,ASH_COATED_OSMIUM,XIRECS,10006.0,4,-2,40024.0
44200,,,ASH_COATED_OSMIUM,XIRECS,10014.0,2,-2,20028.0
45600,,,ASH_COATED_OSMIUM,XIRECS,10011.0,4,-2,40044.0
48000,,,ASH_COATED_OSMIUM,XIRECS,10014.0,10,-2,100140.0
50000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,3,-2,30024.0
50800,,,ASH_COATED_OSMIUM,XIRECS,10015.0,5,-2,50075.0
51400,,,ASH_COATED_OSMIUM,XIRECS,10018.0,8,-2,80144.0
53800,,,ASH_COATED_OSMIUM,XIRECS,9999.0,10,-2,99990.0
55900,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6,-2,60078.0
57600,,,ASH_COATED_OSMIUM,XIRECS,9998.0,6,-2,59988.0
67300,,,ASH_COATED_OSMIUM,XIRECS,9989.0,8,-2,79912.0
69400,,,ASH_COATED_OSMIUM,XIRECS,9987.0,5,-2,49935.0
71700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,8,-2,79920.0
72900,,,ASH_COATED_OSMIUM,XIRECS,9990.0,9,-2,89910.0
73900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,7,-2,69937.0
74500,,,ASH_COATED_OSMIUM,XIRECS,10007.0,9,-2,90063.0
76000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,7,-2,70056.0
79600,,,ASH_COATED_OSMIUM,XIRECS,10008.0,6,-2,60048.0
81200,,,ASH_COATED_OSMIUM,XIRECS,9991.0,6,-2,59946.0
84600,,,ASH_COATED_OSMIUM,XIRECS,9990.0,2,-2,19980.0
86100,,,ASH_COATED_OSMIUM,XIRECS,10007.0,6,-2,60042.0
86200,,,ASH_COATED_OSMIUM,XIRECS,9991.0,4,-2,39964.0
94000,,,ASH_COATED_OSMIUM,XIRECS,10004.0,8,-2,80032.0
94400,,,ASH_COATED_OSMIUM,XIRECS,10004.0,3,-2,30012.0
96300,,,ASH_COATED_OSMIUM,XIRECS,10006.0,8,-2,80048.0
97200,,,ASH_COATED_OSMIUM,XIRECS,9994.0,4,-2,39976.0
97600,,,ASH_COATED_OSMIUM,XIRECS,9999.0,3,-2,29997.0
98200,,,ASH_COATED_OSMIUM,XIRECS,9990.0,3,-2,29970.0
100100,,,ASH_COATED_OSMIUM,XIRECS,9993.0,3,-2,29979.0
101700,,,ASH_COATED_OSMIUM,XIRECS,10001.0,5,-2,50005.0
103900,,,ASH_COATED_OSMIUM,XIRECS,10004.0,4,-2,40016.0
105100,,,ASH_COATED_OSMIUM,XIRECS,9990.0,8,-2,79920.0
105200,,,ASH_COATED_OSMIUM,XIRECS,10005.0,3,-2,30015.0
106000,,,ASH_COATED_OSMIUM,XIRECS,9989.0,4,-2,39956.0
107900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,6,-2,59946.0
108800,,,ASH_COATED_OSMIUM,XIRECS,9990.0,9,-2,89910.0
111800,,,ASH_COATED_OSMIUM,XIRECS,9989.0,6,-2,59934.0
113300,,,ASH_COATED_OSMIUM,XIRECS,9995.0,5,-2,49975.0
113500,,,ASH_COATED_OSMIUM,XIRECS,10010.0,4,-2,40040.0
114100,,,ASH_COATED_OSMIUM,XIRECS,10011.0,10,-2,100110.0
118900,,,ASH_COATED_OSMIUM,XIRECS,9993.0,3,-2,29979.0
119100,,,ASH_COATED_OSMIUM,XIRECS,10010.0,4,-2,40040.0
120000,,,ASH_COATED_OSMIUM,XIRECS,10010.0,8,-2,80080.0
120900,,,ASH_COATED_OSMIUM,XIRECS,10010.0,6,-2,60060.0
122900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,3,-2,29973.0
125200,,,ASH_COATED_OSMIUM,XIRECS,10007.0,3,-2,30021.0
